Organisation Code,Name,National Grouping,High Level Health Geography,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Address Line 5,Postcode,Open Date,Close Date,Column 13,Column 14,Column 15,Column 16,Column 17,Contact Telephone Number,Column 19,Column 20,Column 21,Amended Record Indicator,Column 23,GOR Code,Column 25,Column 26,Column 27,Lat,Long
RJ6,CROYDON HEALTH SERVICES NHS TRUST,Y56,QWE,CROYDON UNIVERSITY HOSPITAL,530 LONDON ROAD,,THORNTON HEATH,,CR7 7YE,19930401,,,,,,,020 8401 3000,,,,1,,H,,,,51.38913,-0.10878
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y56,QWE,ST GEORGE'S HOSPITAL,BLACKSHAW ROAD,TOOTING,LONDON,,SW17 0QT,19930401,,,,,,,020 8672 1255,,,,1,,H,,,,51.42673,-0.17575
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,Y58,QT6,CAREW HOUSE,BEACON TECHNOLOGY PARK,DUNMERE ROAD,BODMIN,,PL31 2QN,19930401,,,,,,,01208 834600,,,,1,,K,,,,50.47189,-4.74163
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,Y60,QWU,WARWICK HOSPITAL,LAKIN ROAD,,WARWICK,,CV34 5BW,19930401,,,,,,,01926 495321,,,,1,,F,,,,52.28997,-1.5832
RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,Y60,QNC,STAFFORD HOSPITAL,WESTON ROAD,,STAFFORD,,ST16 3SA,19930401,20171031,,,,,,01785 257731,,,,1,,F,,,,52.81132,-2.09774
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,Y60,QNC,NEWCASTLE ROAD,,,STOKE-ON-TRENT,,ST4 6QG,19930401,,,,,,,01782 715444,,,,1,,F,,,,53.003,-2.212
RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,Y60,QNC,QUEEN'S HOSPITAL,BELVEDERE ROAD,,BURTON-ON-TRENT,,DE13 0RB,19930401,20180630,,,,,,01283 566333,,,,1,,F,,,,52.81778,-1.65638
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,Y63,QOQ,DIANA PRINCESS OF WALES HOSPITAL,SCARTHO ROAD,,GRIMSBY,,DN33 2BA,20010401,,,,,,,01472 874111,,,,1,,D,,,,53.54487,-0.09621
RJN,EAST CHESHIRE NHS TRUST,Y62,QYG,MACCLESFIELD DISTRICT HOSPITAL,VICTORIA ROAD,,MACCLESFIELD,,SK10 3BL,19930401,,,,,,,01625 661449,,,,1,,B,,,,53.26226,-2.14107
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,Y62,QYG,COUNTESS OF CHESTER HEALTH PARK,LIVERPOOL ROAD,,CHESTER,,CH2 1UL,19930401,,,,,,,01244 365000,,,,1,,B,,,,53.2088,-2.89788
RJX,CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST,Y62,QE1,MITTON ROAD,,WHALLEY,CLITHEROE,,BB7 9PE,19930401,20160630,,,,,,01253 822121,,,,1,,B,,,,53.8297,-2.42367
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,Y56,QKK,DENMARK HILL,,,LONDON,,SE5 9RS,19930401,,,,,,,020 3299 9000,,,,1,,H,,,,51.46808,-0.09392
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,Y60,QT1,KINGS MILL HOSPITAL,MANSFIELD ROAD,,SUTTON-IN-ASHFIELD,,NG17 4JL,19940401,,,,,,,01623 622515,,,,1,,E,,,,53.13434,-1.23228
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,Y58,QJK,DERRIFORD HOSPITAL,DERRIFORD ROAD,DERRIFORD,PLYMOUTH,,PL6 8DH,19940401,,,,,,,01752 202082,,,,1,,K,,,,50.41672,-4.11368
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,Y60,QWU,WALSGRAVE GENERAL HOSPITAL,CLIFFORD BRIDGE ROAD,,COVENTRY,,CV2 2DX,19930401,,,,,,,024 7696 4000,,,,1,,F,,,,52.42121,-1.4384
RKE,WHITTINGTON HEALTH NHS TRUST,Y56,QMJ,THE WHITTINGTON HOSPITAL,MAGDALA AVENUE,,LONDON,,N19 5NF,19930401,,,,,,,020 7272 3070,,,,1,,H,,,,51.56631,-0.13864
RKL,WEST LONDON NHS TRUST,Y56,QRV,1 ARMSTRONG WAY,,,SOUTHALL,,UB2 4SD,20010401,,,,,,,020 8354 8354,,,,1,,H,,,,51.506,-0.356
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,Y60,QOC,GOBOWEN,,,OSWESTRY,,SY10 7AG,19940401,,,,,,,01691 404000,,,,1,,F,,,,52.88423,-3.03269
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,Y60,QUA,NEW CROSS HOSPITAL,WOLVERHAMPTON ROAD,HEATH TOWN,WOLVERHAMPTON,,WV10 0QP,19940401,,,,,,,01902 307999,,,,1,,F,,,,52.59972,-2.09556
RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,Y63,QHM,SUNDERLAND ROYAL HOSPITAL,KAYLL ROAD,,SUNDERLAND,,SR4 7TP,19940401,20190331,,,,,,0191 565 6256,,,,1,,A,,,,54.902,-1.41
RLQ,WYE VALLEY NHS TRUST,Y60,QGH,COUNTY HOSPITAL,27 UNION WALK,,HEREFORD,,HR1 2ER,19940401,,,,,,,01432 355444,,,,1,,F,,,,52.05694,-2.70571
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,Y60,QWU,LEWES HOUSE,COLLEGE STREET,,NUNEATON,,CV10 7DJ,19940401,,,,,,,024 7635 1351,,,,1,,F,,,,52.51258,-1.47844
RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,Y60,QHL,BIRMINGHAM WOMENS HOSPITAL,METCHLEY PARK ROAD,,BIRMINGHAM,,B15 2TG,19940401,20170131,,,,,,0121 472 1377,,,,1,,F,,,,52.45324,-1.9429
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,Y60,QNC,LAWTON HOUSE,BELLRINGER ROAD,TRENTHAM,STOKE-ON-TRENT,,ST4 8HH,19940401,,,,,,,0300 123 1535,,,,1,,F,,,,52.968,-2.168
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y61,QMM,COLNEY LANE,COLNEY,,NORWICH,,NR4 7UY,19940401,,,,,,,01603 286286,,,,1,,G,,,,52.61809,1.22107
RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,Y62,QOP,WYTHENSHAWE HOSPITAL,SOUTHMOOR ROAD,WYTHENSHAWE,MANCHESTER,,M23 9LT,19940401,20170930,,,,,,0161 998 7070,,,,1,,B,,,,53.38792,-2.29319
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,Y62,QOP,SALFORD ROYAL,STOTT LANE,,SALFORD,,M6 8HD,19940401,,,,,,,0161 789 7373,,,,1,,B,,,,53.48754,-2.32342
RM4,TRAFFORD HEALTHCARE NHS TRUST,Y62,QOP,TRAFFORD GENERAL HOSPITAL,MOORSIDE ROAD,URMSTON,MANCHESTER,,M41 5SL,19940401,20120331,,,,,,0161 968 3700,,,,1,,B,,,,53.45406,-2.37068
RMC,BOLTON NHS FOUNDATION TRUST,Y62,QOP,THE ROYAL BOLTON HOSPITAL,MINERVA ROAD,FARNWORTH,BOLTON,,BL4 0JR,19940401,,,,,,,01204 390390,,,,1,,B,,,,53.55397,-2.42989
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,Y62,QOP,TAMESIDE GENERAL HOSPITAL,FOUNTAIN STREET,,ASHTON-UNDER-LYNE,,OL6 9RW,19940401,,,,,,,0161 922 6000,,,,1,,B,,,,53.49153,-2.07143
RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,Y61,QMM,COUNTY HALL,MARTINEAU LANE,,NORWICH,,NR1 2DH,19940401,,,,,,,01603 421421,,,,1,,G,,,,52.61518,1.30766
RN1,WINCHESTER AND EASTLEIGH HEALTHCARE NHS TRUST,Y59,QRL,ROYAL HAMPSHIRE COUNTY HOSPITAL,ROMSEY ROAD,,WINCHESTER,,SO22 5DG,19940401,20120109,,,,,,01962 863535,,,,1,,J,,,,51.06171,-1.32917
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,Y58,QOX,GREAT WESTERN HOSPITAL,MARLBOROUGH ROAD,,SWINDON,,SN3 6BB,19940401,,,,,,,01793 604020,,,,1,,K,,,,51.53853,-1.7272
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,Y59,QRL,BASINGSTOKE AND NORTH HAMPSHIRE HOS,ALDERMASTON ROAD,,BASINGSTOKE,,RG24 9NA,19940401,,,,,,,01256 473202,,,,1,,J,,,,51.28061,-1.10988
RN7,DARTFORD AND GRAVESHAM NHS TRUST,Y59,QKS,DARENT VALLEY HOSPITAL,DARENTH WOOD ROAD,,DARTFORD,,DA2 8DA,19940401,,,,,,,01322 428100,,,,1,,J,,,,51.43495,0.25867
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,Y60,QUA,RUSSELLS HALL HOSPITAL,PENSNETT ROAD,,DUDLEY,,DY1 2HQ,19940401,,,,,,,01384 456111,,,,1,,F,,,,52.50294,-2.11852
RNH,NEWHAM UNIVERSITY HOSPITAL NHS TRUST,Y56,QMF,NEWHAM GENERAL HOSPITAL,GLEN ROAD,,LONDON,,E13 8SL,19940401,20120331,,,,,,0207 476 4000,,,,1,,H,,,,51.52278,0.03472
RNJ,BARTS AND THE LONDON NHS TRUST,Y56,QMF,"TRUST OFFICES, WHITECHAPEL",THE ROYAL LONDON HOSPITAL,WHITECHAPEL,LONDON,,E1 1BB,19940401,20120331,,,,,,020 7377 7000,,,,1,,H,,,,51.51902,-0.05811
RNK,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,Y56,QMJ,THE TAVISTOCK CENTRE,120 BELSIZE LANE,,LONDON,,NW3 5BA,19940401,,,,,,,020 7435 7111,,,,1,,H,,,,51.5469,-0.17544
RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,Y63,QHM,CUMBERLAND INFIRMARY,NEWTOWN ROAD,,CARLISLE,,CA2 7HY,20010401,20190930,,,,,,01946 693181,,,,1,,B,,,,54.897,-2.958
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,Y63,QHM,PILLARS BUILDING,CUMBERLAND INFIRMARY,INFIRMARY STREET,CARLISLE,,CA2 7HY,20010401,,,,,,,01228 602000,,,,1,,B,,,,54.897,-2.958
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,Y60,QPM,ROTHWELL ROAD,,,KETTERING,,NN16 8UZ,19940401,,,,,,,01536 492000,,,,1,,E,,,,52.40278,-0.74129
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,Y60,QPM,CLIFTONVILLE,,,NORTHAMPTON,,NN1 5BD,19940401,,,,,,,01604 634700,,,,1,,E,,,,52.23605,-0.88384
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,Y59,QU9,LITTLEMORE MENTAL HEALTH CENTRE,SANDFORD ROAD,LITTLEMORE,OXFORD,,OX4 4XN,19940401,,,,,,,01865 901000,,,,1,,J,,,,51.717,-1.229
RNZ,SALISBURY NHS FOUNDATION TRUST,Y58,QOX,SALISBURY DISTRICT HOSPITAL,ODSTOCK ROAD,,SALISBURY,,SP2 8BJ,19940401,,,,,,,01722 336262,,,,1,,K,,,,51.04395,-1.78982
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,Y60,QPM,ST MARYS HOSPITAL,77 LONDON ROAD,,KETTERING,,NN15 7PW,20010401,,,,,,,01536 410141,,,,1,,E,,,,52.3941,-0.7222
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,Y56,QMJ,GREAT ORMOND STREET,,,LONDON,,WC1N 3JH,19940401,,,,,,,020 7405 9200,,,,1,,H,,,,51.52221,-0.11992
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,QF7,DONCASTER ROYAL INFIRMARY,ARMTHORPE ROAD,,DONCASTER,,DN2 5LT,20010401,,,,,,,01302 366666,,,,1,,D,,,,53.53074,-1.10926
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,Y56,QMJ,162 CITY ROAD,,,LONDON,,EC1V 2PD,19940401,,,,,,,020 7253 3411,,,,1,,H,,,,51.52725,-0.08989
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,Y60,QJM,ST GEORGE'S,LONG LEYS ROAD,,LINCOLN,,LN1 1FS,20010401,,,,,,,01522 309200,,,,1,,E,,,,53.24403,-0.55691
RPA,MEDWAY NHS FOUNDATION TRUST,Y59,QKS,MEDWAY MARITIME HOSPITAL,WINDMILL ROAD,,GILLINGHAM,,ME7 5NY,19940401,,,,,,,01634 830000,,,,1,,J,,,,51.37986,0.54206
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,Y59,QNX,HOLTYE ROAD,,,EAST GRINSTEAD,,RH19 3DZ,19940401,,,,,,,01342 414000,,,,1,,J,,,,51.13511,-0.0029
RPG,OXLEAS NHS FOUNDATION TRUST,Y59,QKS,PINEWOOD HOUSE,PINEWOOD PLACE,,DARTFORD,,DA2 7WG,19940401,,,,,,,01322 625700,,,,1,,J,,,,51.4348,0.17474
RPL,WORTHING AND SOUTHLANDS HOSPITALS NHS TRUST,Y59,QNX,WORTHING HOSPITAL,LYNDHURST ROAD,,WORTHING,,BN11 2DH,19940401,20090331,,,,,,01903 205111,,,,1,,J,,,,50.81668,-0.3634
RPR,ROYAL WEST SUSSEX NHS TRUST,Y59,QNX,ST RICHARD'S HOSPITAL,SPITALFIELD LANE,,CHICHESTER,,PO19 6SE,19940401,20090331,,,,,,01243 788122,,,,1,,J,,,,50.84356,-0.76803
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,Y56,QRV,FULHAM ROAD,,,LONDON,,SW3 6JJ,19940401,,,,,,,020 7352 8171,,,,1,,H,,,,51.49056,-0.17257
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Y60,QHL,STEELHOUSE LANE,,,BIRMINGHAM,,B4 6NH,19950401,,,,,,,0121 333 9999,,,,1,,F,,,,52.48478,-1.89381
RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,Y62,QYG,ROYAL LIVERPOOL UNIVERSITY HOSPITAL,PRESCOT STREET,,LIVERPOOL,,L7 8XP,19950401,20190930,,,,,,0151 706 2000,,,,1,,B,,,,53.40951,-2.96481
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,Y61,QH8,BROOMFIELD HOSPITAL,COURT ROAD,,CHELMSFORD,,CM1 7ET,19950401,20200331,,,,,,01245 362000,,,,1,,G,,,,51.77458,0.46599
RQF,VELINDRE NHS TRUST,,,UNIT 2,CHARNWOOD COURT,HEOL BILLINGSLEY,CARDIFF,,CF15 7QZ,19940401,,,,,,,029 2019 6161,,,,1,,W,,,,51.56631,-3.27836
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,Y56,QRV,CHELSEA & WESTMINSTER HOSPITAL,369 FULHAM ROAD,,LONDON,,SW10 9NH,19940401,,,,,,,020 3315 8000,,,,1,,H,,,,51.48426,-0.18164
RQN,HAMMERSMITH HOSPITALS NHS TRUST,Y56,QRV,HAMMERSMITH HOSPITAL,DU CANE ROAD,,LONDON,,W12 0HS,19940401,20070930,,,,,,020 8383 1000,,,,1,,H,,,,51.51742,-0.23472
RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,Y61,QUE,HINCHINGBROOKE HOSPITAL,,,HUNTINGDON,,PE29 6NT,19950401,20170331,,,,,,01480 416416,,,,1,,G,,,,52.33335,-0.20268
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,Y61,QM7,HAMSTEL ROAD,,,HARLOW,,CM20 1QX,19950401,,,,,,,01279 444455,,,,1,,G,,,,51.77153,0.08546
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,Y56,QMF,HOMERTON ROW,,,LONDON,,E9 6SR,19950401,,,,,,,020 8510 5555,,,,1,,H,,,,51.55063,-0.0461
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,Y56,QWE,SPRINGFIELD HOSPITAL,61 GLENBURNIE ROAD,,LONDON,,SW17 7DJ,19950401,,,,,,,020 3513 5000,,,,1,,H,,,,51.43704,-0.17154
RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,Y60,QHL,BIRMINGHAM HEARTLANDS HOSPITAL,BORDESLEY GREEN EAST,,BIRMINGHAM,,B9 5ST,19960401,20180401,,,,,,0121 424 2000,,,,1,,F,,,,52.47788,-1.82753
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,Y63,QHM,QUEEN ELIZABETH HOSPITAL,SHERIFF HILL,,GATESHEAD,,NE9 6SX,19980401,,,,,,,0191 482 0000,,,,1,,A,,,,54.93938,-1.58078
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,Y63,QWO,ST. JAMES'S UNIVERSITY HOSPITAL,BECKETT STREET,,LEEDS,,LS9 7TF,19980401,,,,,,,0113 243 3144,,,,1,,D,,,,53.80687,-1.52036
RRD,NORTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y61,QH8,STAPLEFORD HOUSE,STAPLEFORD CLOSE,,CHELMSFORD,,CM2 0QX,20010401,20170331,,,,,,01245 546400,,,,1,,G,,,,51.72975,0.46716
RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y60,QNC,TRUST HEADQUARTERS,ST GEORGES HOSPITAL,CORPORATION STREET,STAFFORD,,ST16 3SR,20010401,,,,,,,0300 790 7000,,,,1,,F,,,,52.81059,-2.10927
RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",Y62,QOP,ROYAL ALBERT EDWARD INFIRMARY,WIGAN LANE,,WIGAN,,WN1 2NN,20010401,,,,,,,01942 244000,,,,1,,B,,,,53.55774,-2.62909
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,Y60,QHL,THE WOODLANDS,BRISTOL ROAD SOUTH,NORTHFIELD,BIRMINGHAM,,B31 2AP,19950401,,,,,,,0121 685 4000,,,,1,,F,,,,52.42009,-1.96116
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,Y60,QHL,QUEEN ELIZABETH HOSPITAL,MINDELSOHN WAY,EDGBASTON,BIRMINGHAM,,B15 2GW,19950401,,,,,,,0121 371 2000,,,,1,,F,,,,52.45183,-1.94256
RRP,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",Y56,QMJ,TRUST HEADQUARTERS BLOCK B2,ST ANN'S HOSPITAL,ST ANN'S ROAD,LONDON,,N15 3TH,20010401,20241031,,,,,,020 8702 3000,,,,1,,H,,,,51.58066,-0.09218
RRU,LONDON AMBULANCE SERVICE NHS TRUST,Y56,QKK,220 WATERLOO ROAD,,,LONDON,,SE1 8SD,19960401,,,,,,,020 7783 2000,,,,1,,H,,,,51.50017,-0.10903
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,Y56,QMJ,250 EUSTON ROAD,,,LONDON,,NW1 2PG,19960401,,,,,,,020 3456 7890,,,,1,,H,,,,51.52573,-0.1374
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,Y61,QUE,ELIZABETH HOUSE,FULBOURN HOSPITAL,FULBOURN,CAMBRIDGE,,CB21 5EF,20020401,,,,,,,01223 219400,,,,1,,G,,,,52.18521,0.18818
RT2,PENNINE CARE NHS FOUNDATION TRUST,Y62,QOP,225 OLD STREET,,,ASHTON-UNDER-LYNE,,OL6 7SR,20020401,,,,,,,0161 716 3000,,,,1,,B,,,,53.48574,-2.09998
RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,Y56,QRV,ROYAL BROMPTON HOSPITAL,SYDNEY STREET,,LONDON,,SW3 6NP,19980401,20210131,,,,,,020 7352 8121,,,,1,,H,,,,51.48974,-0.17086
RT4,WELSH AMBULANCE SERVICES NHS TRUST,,,UNIT 7,FFORDD RICHARD DAVIES,ST ASAPH BUSINESS PARK,ST. ASAPH,,LL17 0LJ,19980401,,,,,,,01745 532900,,,,1,,W,,,,53.25194,-3.47833
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,Y60,QK1,ROOM 100/110 PEN LLOYD BUILDING,COUNTY HALL,LEICESTER ROAD,LEICESTER,,LE3 8RA,19990401,,,,,,,0116 295 1350,,,,1,,E,,,,52.65571,-1.18801
RT6,SUFFOLK MENTAL HEALTH PARTNERSHIP NHS TRUST,Y61,QJG,SUFFOLK HOUSE,ST. CLEMENTS HOSPITAL,FOXHALL ROAD,IPSWICH,,IP3 8LU,19990401,20111231,,,,,,01473 329600,,,,1,,G,,,,52.04768,1.19014
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,Y63,QHM,FREEMAN HOSPITAL,FREEMAN ROAD,HIGH HEATON,NEWCASTLE UPON TYNE,,NE7 7DN,19980401,,,,,,,0191 233 6161,,,,1,,A,,,,55.003,-1.593
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,Y58,QR1,CHELTENHAM GENERAL HOSPITAL,SANDFORD ROAD,,CHELTENHAM,,GL53 7AN,20020401,,,,,,,0300 422 2222,,,,1,,K,,,,51.89212,-2.07181
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,Y63,QHM,NORTH TYNESIDE GENERAL HOSPITAL,RAKE LANE,,NORTH SHIELDS,,NE29 8NH,19980401,,,,,,,0344 811 8111,,,,1,,A,,,,55.02524,-1.46734
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,Y60,QJ2,ROYAL DERBY HOSPITAL,UTTOXETER ROAD,,DERBY,,DE22 3NE,19980401,,,,,,,01332 340131,,,,1,,E,,,,52.91119,-1.51451
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y59,QU9,JOHN RADCLIFFE HOSPITAL,HEADLEY WAY,HEADINGTON,OXFORD,,OX3 9DU,19980401,,,,,,,0300 304 7777,,,,1,,J,,,,51.76387,-1.21981
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,Y59,QXU,ST PETERS HOSPITAL,GUILDFORD ROAD,,CHERTSEY,,KT16 0PZ,19980401,,,,,,,01932 872000,,,,1,,J,,,,51.37783,-0.52706
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,Y59,QXU,TRUST HEADQUARTERS,EAST SURREY HOSPITAL,CANADA AVENUE,REDHILL,,RH1 5RH,19980401,,,,,,,01737 768511,,,,1,,J,,,,51.21919,-0.16201
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,Y58,QR1,EDWARD JENNER COURT,1010 PIONEER AVENUE,GLOUCESTER BUSINESS PARK,GLOUCESTER,,GL3 4AW,20020401,,,,,,,0300 4218 100,,,,1,,K,,,,51.844,-2.177
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,Y63,QHM,JAMES COOK UNIVERSITY HOSPITAL,MARTON ROAD,,MIDDLESBROUGH,,TS4 3BW,20020401,,,,,,,01642 850850,,,,1,,A,,,,54.55175,-1.21481
